Signal,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,selection.totals
(Intercept),1,1,1,1,1,1,1,1,1,1,10
Age,1,0,1,1,0,0,1,1,0,1,6
Sex,0,0,1,1,1,0,0,0,1,0,4
HRT_spot_15_5,0,0,0,0,0,0,0,0,0,0,0
BPs_spot_15_5,0,0,0,0,0,0,0,0,0,0,0
BPd_spot_15_5,0,0,0,0,0,0,0,0,0,0,0
BPm_spot_15_5,0,0,0,0,0,0,0,0,0,0,0
HRT_mean_15_5,0,0,0,0,0,1,0,0,0,0,1
BPs_mean_15_5,0,0,0,0,0,0,0,0,0,0,0
BPd_mean_15_5,0,0,0,0,0,0,0,0,0,0,0
BPm_mean_15_5,0,0,0,1,0,1,1,0,0,0,3
BPp_mean_15_5,0,0,0,0,0,0,0,0,0,0,0
HRT_sd_15_5,0,0,0,0,1,0,0,1,0,1,3
BPs_sd_15_5,0,0,1,0,0,0,0,0,0,0,1
BPd_sd_15_5,0,0,0,0,0,0,0,0,0,0,0
BPm_sd_15_5,0,0,0,1,0,1,1,1,1,0,5
BPp_sd_15_5,0,0,0,0,0,0,0,0,0,0,0
HRT_slope_15_5,0,0,0,0,0,0,0,0,0,0,0
BPs_slope_15_5,0,0,0,0,0,0,0,0,0,0,0
BPd_slope_15_5,0,0,0,0,0,0,0,0,0,0,0
BPm_slope_15_5,0,0,0,0,0,0,0,0,0,0,0
BPp_slope_15_5,1,0,1,0,0,0,0,0,0,0,2
HRT_spot_20_5,1,1,1,1,1,1,1,1,1,1,10
BPs_spot_20_5,1,0,1,1,0,0,1,1,0,1,6
BPd_spot_20_5,0,0,1,1,1,0,0,0,1,0,4
BPm_spot_20_5,0,0,0,0,0,0,0,0,0,0,0
HRT_mean_20_5,0,0,0,0,0,0,0,0,0,0,0
BPs_mean_20_5,0,0,0,0,0,0,0,0,0,0,0
BPd_mean_20_5,0,0,0,0,0,0,0,0,0,0,0
BPm_mean_20_5,0,0,0,0,0,1,0,0,0,0,1
BPp_mean_20_5,0,0,0,0,0,0,0,0,0,0,0
HRT_sd_20_5,0,0,0,0,0,0,0,0,0,0,0
BPs_sd_20_5,0,0,0,1,0,1,1,0,0,0,3
BPd_sd_20_5,0,0,0,0,0,0,0,0,0,0,0
BPm_sd_20_5,0,0,0,0,1,0,0,1,0,1,3
BPp_sd_20_5,0,0,1,0,0,0,0,0,0,0,1
HRT_slope_20_5,0,0,0,0,0,0,0,0,0,0,0
BPs_slope_20_5,0,0,0,1,0,1,1,1,1,0,5
BPd_slope_20_5,0,0,0,0,0,0,0,0,0,0,0
BPm_slope_20_5,0,0,0,0,0,0,0,0,0,0,0
BPp_slope_20_5,0,0,0,0,0,0,0,0,0,0,0
HRT_spot_25_5,0,0,0,0,0,0,0,0,0,0,0
BPs_spot_25_5,0,0,0,0,0,0,0,0,0,0,0
BPd_spot_25_5,1,0,1,0,0,0,0,0,0,0,2
BPm_spot_25_5,1,1,1,1,1,1,1,1,1,1,10
HRT_mean_25_5,1,0,1,1,0,0,1,1,0,1,6
BPs_mean_25_5,0,0,1,1,1,0,0,0,1,0,4
BPd_mean_25_5,0,0,0,0,0,0,0,0,0,0,0
BPm_mean_25_5,0,0,0,0,0,0,0,0,0,0,0
BPp_mean_25_5,0,0,0,0,0,0,0,0,0,0,0
HRT_sd_25_5,0,0,0,0,0,0,0,0,0,0,0
BPs_sd_25_5,0,0,0,0,0,1,0,0,0,0,1
BPd_sd_25_5,0,0,0,0,0,0,0,0,0,0,0
BPm_sd_25_5,0,0,0,0,0,0,0,0,0,0,0
BPp_sd_25_5,0,0,0,1,0,1,1,0,0,0,3
HRT_slope_25_5,0,0,0,0,0,0,0,0,0,0,0
BPs_slope_25_5,0,0,0,0,1,0,0,1,0,1,3
BPd_slope_25_5,0,0,1,0,0,0,0,0,0,0,1
BPm_slope_25_5,0,0,0,0,0,0,0,0,0,0,0
BPp_slope_25_5,0,0,0,1,0,1,1,1,1,0,5
HRT_spot_30_5,0,0,0,0,0,0,0,0,0,0,0
BPs_spot_30_5,0,0,0,0,0,0,0,0,0,0,0
BPd_spot_30_5,0,0,0,0,0,0,0,0,0,0,0
BPm_spot_30_5,0,0,0,0,0,0,0,0,0,0,0
HRT_mean_30_5,0,0,0,0,0,0,0,0,0,0,0
BPs_mean_30_5,1,0,1,0,0,0,0,0,0,0,2
BPd_mean_30_5,1,1,1,1,1,1,1,1,1,1,10
BPm_mean_30_5,1,0,1,1,0,0,1,1,0,1,6
BPp_mean_30_5,0,0,1,1,1,0,0,0,1,0,4
HRT_sd_30_5,0,0,0,0,0,0,0,0,0,0,0
BPs_sd_30_5,0,0,0,0,0,0,0,0,0,0,0
BPd_sd_30_5,0,0,0,0,0,0,0,0,0,0,0
BPm_sd_30_5,0,0,0,0,0,0,0,0,0,0,0
BPp_sd_30_5,0,0,0,0,0,1,0,0,0,0,1
HRT_slope_30_5,0,0,0,0,0,0,0,0,0,0,0
BPs_slope_30_5,0,0,0,0,0,0,0,0,0,0,0
BPd_slope_30_5,0,0,0,1,0,1,1,0,0,0,3
BPm_slope_30_5,0,0,0,0,0,0,0,0,0,0,0
BPp_slope_30_5,0,0,0,0,1,0,0,1,0,1,3
